member_id,full_name,email,signup_date,last_checkin_date,membership_status,plan_name,monthly_fee,partner_name,days_since_last_checkin,days_since_signup,member_health_flag,is_currently_active
M031,Alex Mason,alex.mason.m031@example.com,2025-11-25,2026-04-09,active,Basic,79.0,North Peak Fitness,6.0,141,healthy,True
M046,Alex Mason,alex.mason.m046@example.com,2025-07-02,2026-03-21,active,Basic,79.0,North Peak Fitness,25.0,287,healthy,True
M026,Parker Reed,parker.reed.m026@example.com,2025-10-25,2026-03-13,active,Basic,79.0,North Peak Fitness,33.0,172,at_risk,True
M041,Parker Reed,parker.reed.m041@example.com,2025-04-23,2026-04-13,active,Basic,79.0,North Peak Fitness,2.0,357,healthy,True
M011,Parker Reed,parker.reed.m011@example.com,2025-07-26,2026-04-12,active,Corporate,249.0,North Peak Fitness,3.0,263,healthy,True
M006,Riley Gray,riley.gray.m006@example.com,2025-03-08,2026-03-14,active,Premium,129.0,North Peak Fitness,32.0,403,at_risk,True
M021,Riley Gray,riley.gray.m021@example.com,2025-01-22,2026-04-14,active,Premium,129.0,North Peak Fitness,1.0,448,healthy,True
M036,Riley Gray,riley.gray.m036@example.com,2025-12-02,2026-03-11,active,Premium,129.0,North Peak Fitness,35.0,134,at_risk,True
M010,Avery Brooks,avery.brooks.m010@example.com,2026-02-13,,active,Premium Plus,179.0,Prime Core Studio,,61,inactive,True
M025,Avery Brooks,avery.brooks.m025@example.com,2025-06-28,2026-04-12,active,Premium Plus,179.0,Prime Core Studio,3.0,291,healthy,True
M040,Avery Brooks,avery.brooks.m040@example.com,2025-06-27,,active,Premium Plus,179.0,Prime Core Studio,,292,inactive,True
M015,Blake Turner,blake.turner.m015@example.com,2025-04-05,2026-04-09,active,Premium Plus,179.0,Prime Core Studio,6.0,375,healthy,True
M030,Blake Turner,blake.turner.m030@example.com,2025-07-14,,active,Premium Plus,179.0,Prime Core Studio,,275,inactive,True
M045,Blake Turner,blake.turner.m045@example.com,2025-10-17,2026-04-11,active,Premium Plus,179.0,Prime Core Studio,4.0,180,healthy,True
M005,Casey Parker,casey.parker.m005@example.com,2025-02-21,2026-04-11,active,Premium Plus,179.0,Prime Core Studio,4.0,418,healthy,True
M020,Casey Parker,casey.parker.m020@example.com,2025-09-24,,active,Premium Plus,179.0,Prime Core Studio,,203,inactive,True
M035,Casey Parker,casey.parker.m035@example.com,2025-03-08,2026-04-05,active,Premium Plus,179.0,Prime Core Studio,10.0,403,healthy,True
M050,Casey Parker,casey.parker.m050@example.com,2025-02-14,,active,Premium Plus,179.0,Prime Core Studio,,425,inactive,True
M004,Morgan Ward,morgan.ward.m004@example.com,2025-11-19,2026-04-13,active,Basic,79.0,Urban Motion Hub,2.0,147,healthy,True
M019,Morgan Ward,morgan.ward.m019@example.com,2025-02-15,2026-04-11,active,Basic,79.0,Urban Motion Hub,4.0,424,healthy,True
M034,Morgan Ward,morgan.ward.m034@example.com,2026-02-16,2026-04-09,cancelled,Basic,79.0,Urban Motion Hub,6.0,58,healthy,False
M049,Morgan Ward,morgan.ward.m049@example.com,2026-01-25,2026-04-11,cancelled,Basic,79.0,Urban Motion Hub,4.0,80,healthy,False
M014,Skyler Jordan,skyler.jordan.m014@example.com,2025-04-17,2026-04-11,active,Basic,79.0,Urban Motion Hub,4.0,363,healthy,True
M029,Skyler Jordan,skyler.jordan.m029@example.com,2025-06-15,2026-04-11,active,Basic,79.0,Urban Motion Hub,4.0,304,healthy,True
M044,Skyler Jordan,skyler.jordan.m044@example.com,2025-06-01,2026-04-02,active,Corporate,249.0,Urban Motion Hub,13.0,318,healthy,True
M009,Drew Hayes,drew.hayes.m009@example.com,2025-03-06,2026-04-11,active,Premium,129.0,Urban Motion Hub,4.0,405,healthy,True
M024,Drew Hayes,drew.hayes.m024@example.com,2025-12-29,2026-04-11,active,Premium,129.0,Urban Motion Hub,4.0,107,healthy,True
M039,Drew Hayes,drew.hayes.m039@example.com,2025-12-18,2026-04-11,active,Premium,129.0,Urban Motion Hub,4.0,118,healthy,True
